*002021 0プログラム補液　I-HDF　補液周期         分                  
*002031 0プログラム補液　I-HDF　補液開始時間     分                  
*002041 0プログラム補液　I-HDF　除水再開時間     分                  
*002051 2プログラム補液　I-HDF　総補液量上限     L                   
*002061 2開始期間　除水速度倍率                                      
*002073 0固定倍率除水期間　時間                  分                  
*002081 2固定倍率除水期間　除水速度倍率                              
*002091 0固定倍率除水終了条件　最高血圧          mmHg                
*002101 0固定倍率除水終了条件　脈拍              bpm                 
*002111 0最高血圧上限                            mmHg                
*002121 0最高血圧下限                            mmHg                
*002131 0最低血圧上限                            mmHg                
*002141 0最低血圧下限                            mmHg                
*002151 0平均血圧上限                            mmHg                
*002161 0平均血圧下限                            mmHg                
*002171 0脈拍数上限                              bpm                 
*002181 0脈拍数下限                              bpm                 
*002190 0最高血圧上限警報　BP　動作選択                              
*002200 0最高血圧下限警報　BP　動作選択                              
*002210 0最高血圧上限警報　除水　動作選択                            
*002220 0最高血圧下限警報　除水　動作選択                            
*002230 0最高血圧上限警報　Na注入　動作選択                          
*002240 0最高血圧下限警報　Na注入　動作選択                          
*002250 0最高血圧上限警報　補液　動作選択                            
*002260 0最高血圧下限警報　補液　動作選択                            
*002271 0最高血圧上限警報　BP　速度              mL/min              
*002281 0最高血圧下限警報　BP　速度              mL/min              
*002291 2最高血圧上限警報　除水　速度            L/h                 
*002301 2最高血圧下限警報　除水　速度            L/h                 
*002311 0最高血圧上限警報　Na注入　速度          mEq/L               
*002321 0最高血圧下限警報　Na注入　速度          mEq/L               
*002331 2最高血圧上限警報　補液　速度            L/h                 
*002341 2最高血圧下限警報　補液　速度            L/h                 
*002351 0警報連動測定開始時刻                    min                 
*002361 0治療条件連動測定時刻                    min                 
*002370 0血圧測定自動停止(警報発生)                                  
*002380 0血圧測定自動停止(条件変更)                                  
*002390 0高速測定選択                                                
*002400 0ＴＭＰ監視モード                                            
*002410 0ＴＭＰゼロ補正の選択                                        
*002420 0静脈圧自動設定警報監視有無                                  
*002430 0ダイアライザー血液入口圧自動設定警報監視有無                
*002440 0透析液圧自動設定警報監視有無                                
*002450 0ＴＭＰ自動設定警報監視有無                                  
*002460 0差圧自動設定警報監視有無                                    
*002470 0Ｎａ濃度自動設定警報監視有無                                
*002481 1固定倍率除水終了条件　ΔBV              ％                  
*002493 0終了前期間　時間                        分                  
*002501 1透析液濃度プログラム自動設定警報幅上限  ％                  
*002511 1透析液濃度プログラム自動設定警報幅下限  ％                  
*002521 1Ｂ液濃度プログラム自動設定警報幅上限    ％                  
*002531 1Ｂ液濃度プログラム自動設定警報幅下限    ％                  
*002541 0Ｎａ濃度自動設定警報幅上限              mEq/L               
*002551 0Ｎａ濃度自動設定警報幅下限              mEq/L               
*002561 0Ｎａ濃度固定警報上限                    mEq/L               
*002571 0Ｎａ濃度固定警報下限                    mEq/L               
*002580 0アクセス再循環測定使用選択                                  
*002593 0自動測定1                               分                  
*002601 1ΔＢＶ低下警報点１                      ％                  
*002611 1ΔＢＶ低下警報点２                                          
*002621 1ΔBV変化率警報点                        ％/min              
*002633 0自動測定2                               分                  
*002643 0自動測定3                               分                  
*002653 0自動測定4                               分                  
*002663 0自動測定5                               分                  
*002670 0ブラッドボリューム計使用の選択                              
*002680 0透析液流量　設定方法の選択                                  
*002691 1透析液流量　比率設定値                                      
*002700 0D-FAS　返血　動脈側返血使用選択                             
*002711 1開始時ΔBV基準値                        ％                  
*002721 0ΔBV基準線　指数１                                          
*002731 0ΔBV基準線　指数２                                          
*002741 0ΔBV基準線　指数３                                          
*002751 1終了時ΔBV基準値                        ％                  
*002771 2ΔＢＶ除水低下速度                      L/h                 
*002781 0ΔＢＶ除水低下遅延時間                  分                  
*002811 0再循環率報知                            ％                  
*002820 0透析量プログラム使用選択                K                   
*002831 1体液量計算時後体重                      Kg                  
*002841 2体液量+補正値                           L                   
*002851 1目標後体重                              Kg                  
*002861 0標準血流量                              mL/min              
*002871 0KoA                                     mL/min              
*002881 2目標Kt/V                                                    
*002900 0ＵＦＲプログラム電源ＳＷ                                    
*002911 0治療モード１                                                
*002921 0治療モード２                                                
*002931 0治療モード３                                                
*002941 0治療モード４                                                
*002951 0治療モード５                                                
*002961 0治療モード６                                                
*002971 0治療モード７                                                
*002981 0治療モード８                                                
*002991 0治療モード９                                                
*003001 0治療モード１０                                              
*003011 0ＵＦＲプログラム指数１                                      
*003021 0ＵＦＲプログラム指数２                                      
*003031 0ＵＦＲプログラム指数３                                      
*003041 0ＵＦＲプログラム指数４                                      
*003051 0ＵＦＲプログラム指数５                                      
*003061 0ＵＦＲプログラム指数６                                      
*003071 0ＵＦＲプログラム指数７                                      
*003081 0ＵＦＲプログラム指数８                                      
*003091 0ＵＦＲプログラム指数９                                      
*003101 0ＵＦＲプログラム指数１０                                    
*003111 0ＵＦＲプログラム最終位置                                    
*003121 1ＵＦＲプログラムコース                                      
*003131 0ＵＦＲプログラム開始数値                                    
*003141 0ＵＦＲプログラム終了数値                                    
*003150 0Ｎａ注入プログラム電源ＳＷ                                  
*003161 0Ｎａ注入プログラム設定１                mEq/L               
*003171 0Ｎａ注入プログラム設定２                mEq/L               
*003181 0Ｎａ注入プログラム設定３                mEq/L               
*003191 0Ｎａ注入プログラム設定４                mEq/L               
*003201 0Ｎａ注入プログラム設定５                mEq/L               
*003211 0Ｎａ注入プログラム設定６                mEq/L               
*003221 0Ｎａ注入プログラム設定７                mEq/L               
*003231 0Ｎａ注入プログラム設定８                mEq/L               
*003241 0Ｎａ注入プログラム設定９                mEq/L               
*003251 0Ｎａ注入プログラム設定１０              mEq/L               
*003263 0Ｎａ注入プログラム切替時間              分                  
*003270 0Ｎａ注入プログラム　UFRプロとの連動選択                     
*003281 1Ｎａ注入プログラムコース                                    
*003291 0Ｎａ注入プログラム開始数値              mEq/L               
*003301 0Ｎａ注入プログラム終了数値              mEq/L               
*003311 0D-FAS　脱血　同時脱血　脱血量           mL                  
*003321 0D-FAS　脱血　片側脱血への切替え透析液圧 mmHg                
*003331 0D-FAS　脱血　脱血速度                   mL/min              
*003341 0D-FAS　脱血　片側脱血(除水なし) 脱血量  mL                  
*003351 0D-FAS　治療　治療開始時 血液ポンプ速度  mL/min              
*003361 0緊急補液　補液速度                      mL/min              
*003371 0緊急補液　補液量                        mL                  
*003381 0D-FAS　脱血　片側脱血（除水あり）脱血量 mL                  
*003390 0D-FAS　脱血　脱血方法選択                                   
*003400 0濃度プログラム電源ＳＷ                                      
*003411 1透析液濃度プログラム設定１              mS/cm               
*003421 1透析液濃度プログラム設定２              mS/cm               
*003431 1透析液濃度プログラム設定３              mS/cm               
*003441 1透析液濃度プログラム設定４              mS/cm               
*003451 1透析液濃度プログラム設定５              mS/cm               
*003461 1透析液濃度プログラム設定６              mS/cm               
*003471 1透析液濃度プログラム設定７              mS/cm               
*003481 1透析液濃度プログラム設定８              mS/cm               
*003491 1透析液濃度プログラム設定９              mS/cm               
*003501 1透析液濃度プログラム設定１０            mS/cm               
*003511 2Ｂ液濃度プログラム設定１                mS/cm               
*003521 2Ｂ液濃度プログラム設定２                mS/cm               
*003531 2Ｂ液濃度プログラム設定３                mS/cm               
*003541 2Ｂ液濃度プログラム設定４                mS/cm               
*003551 2Ｂ液濃度プログラム設定５                mS/cm               
*003561 2Ｂ液濃度プログラム設定６                mS/cm               
*003571 2Ｂ液濃度プログラム設定７                mS/cm               
*003581 2Ｂ液濃度プログラム設定８                mS/cm               
*003591 2Ｂ液濃度プログラム設定９                mS/cm               
*003601 2Ｂ液濃度プログラム設定１０              mS/cm               
*003611 1透析液濃度プログラムｽﾃｯﾌﾟ切替無し　ｺｰｽ                      
*003621 1透析液濃度プログラム開始数値            mS/cm               
*003631 1透析液濃度プログラム終了数値            mS/cm               
*003641 1Ｂ液濃度プログラムｽﾃｯﾌﾟ切替無し　ｺｰｽ                        
*003651 2Ｂ液濃度プログラム開始数値              mS/cm               
*003661 2Ｂ液濃度プログラム終了数値              mS/cm               
*003673 0濃度プログラム切替時間                  分                  
*003680 0濃度プログラム　ＵＦＲプロとの連動選択                      
*003690 0DP=Qd+Qs(補液速度加算)                                      
*003701 0返血機能　使用液量                      mL                  
*003711 0返血機能　流速                          mL/min              
*003720 0返血機能　血液判別器による終了選択                          
*003731 0D-FAS　返血　静脈側返血速度             mL/min              
*003741 0D-FAS　返血　静脈側最大返血量           mL                  
*003761 0D-FAS　返血　動脈側最大返血量           mL                  
*003770 0D-FAS　返血　静脈側返血　血液判別器選択                     
*003780 0D-FAS　返血　動脈側返血　血液判別器選択                     
*003791 0OHDF　補液速度比率                      ％                  
*003801 2補液速度                                L/h                 
*003811 1補液温度設定値                          ℃                  
*003821 1補液量設定値                            L                   
*003831 1補液量設定値制限（OHDF・OHF用）         L                   
*003841 0AFBF　補液比率使用選択                                      
*003851 1AFBF　補液比率	％                                           
*003861 2補液速度設定範囲上限（AFBF）            L/h                 
*003871 2補液速度設定範囲下限（AFBF）            L/h                 
*003881 0補液選択（前・後）                                          
*003890 0OHDF/OHF補液計算優先項目選択                                
*003901 0ＴＭＰゼロ補正警報中点OHDF              mmHg                
