R01 411 0     999       001系洗浄積算水量                         L                   
R01 421 0     999       002系洗浄積算水量                         L                   
R01 431 0     999       00ROタンク水位表示                        L                   
R12  11 0       5       00運転状態                                                    
R12 121 1    99.9     0.00カーボン出口温度                        ℃                  
R12 151 1    99.9     0.00RO水タンク温度                          ℃                  
R12 161 1    99.9     0.00排水温度                                ℃                  
R12 231 1   100.0     0.00送水ポンプ１インバータ                  ％                  
R12 241 1   100.0     0.00送水ポンプ２インバータ                  ％                  
R12 251 2    1.00    0.00010μフィルタ入口圧                      MPa                 
R12 261 2    1.00    0.000カーボンフィルタ入口圧                  MPa                 
R12 331 2    1.00    0.000送水ポンプ1出口圧                       MPa                 
R12 341 2    1.00    0.000送水ポンプ2出口圧                       MPa                 
R12 441 1   999.9     0.00NO.1RO処理水量                          L/min               
R12 451 1   999.9     0.00NO.1RO循環水量                          L/min               
R12 461 1   999.9     0.00NO.1RO排水量                            L/min               
R12 471 1   999.9     0.00NO.1RO排水戻り水量                      L/min               
R12 481 1   999.9     0.00NO.2RO処理水量                          L/min               
R12 491 1   999.9     0.00NO.2RO循環水量                          L/min               
R12 501 1   999.9     0.00NO.2RO排水量                            L/min               
R12 511 1   999.9     0.00NO.2RO排水戻り水量                      L/min               
R12 521 1    99.9     0.00軟水タンク温度                          ℃                  
R12 531 1    99.9     0.00NO.1RO膜出口温度                        ℃                  
R12 541 1    99.9     0.00NO.2RO膜出口温度                        ℃                  
R12 551 1   500.0     0.00RO原水水質                              μS/cm              
R12 561 1   500.0     0.00NO.1RO水質                              μS/cm              
R12 571 1    20.0     0.00NO.2RO水質                              μS/cm              
R12 581 1   100.0     0.00軟水加圧ポンプインバータ                ％                  
R12 591 1   100.0     0.00NO.1ROポンプインバータ                  ％                  
R12 601 1   100.0     0.00NO.2ROポンプインバータ                  ％                  
R12 611 1   100.0     0.00NO.1ROポンプ入口圧                      ％                  
R12 621 2    2.00    0.000NO.1RO膜入口圧                          MPa                 
R12 631 2    2.00    0.000NO.1RO膜出口圧                          MPa                 
R12 641 2    1.00    0.000NO.2ROポンプ入口圧                      MPa                 
R12 651 2    2.00    0.000NO.2RO膜入口圧                          MPa                 
R12 661 2    2.00    0.000NO.2RO膜出口圧                          MPa                 
R12 671 2    1.00    0.000原水圧                                  MPa                 
R12 681 2    1.00    0.000原水減圧弁出口圧                        MPa                 
R12 691 2    1.00    0.000軟水機入口圧                            MPa                 
R12 701 2    1.00    0.000軟水機出口圧                            MPa                 
R12 711 2    1.00    0.000減圧弁出口圧                            MPa                 
R12 721 2    1.00    0.000給湯圧                                  MPa                 
R12 731 2    1.00    0.000給湯減圧弁出口圧                        MPa                 
R12 741 2    1.00    0.000混合弁出口圧                            MPa                 
R12 751 1    99.9     0.00原水流量                                L/min               
R12 761 1    99.9     0.00洗浄排水量                              L/min               
R12 771 1   100.0     0.00ｼｽﾃﾑ回収率                              ％                  
R12 781 1   100.0     0.00NO.1RO回収率                            ％                  
R12 791 1   100.0     0.00NO.2RO回収率                            ％                  
R12 801 1   100.0     0.00RO阻止率                                ％                  
R12 811 1   100.0     0.00NO.1RO排水戻りMV開度                    ％                  
R12 821 1   100.0     0.00NO.2RO排水戻りMV開度                    ％                  
I01  11 0      15       10工程                                                        
I01  21 1   250.0     0.00A原液濃度                               mS/cm               
I01  31 1    45.0     0.00A原液濃度                               ℃                  
I01  41 1   150.0     0.00原液量(溶解槽2)                         L                   
I01  51 0     180       00残り薬剤数量                            袋                  
I01  61 1   300.0   -10.00給水圧                                  KPa                 
I01  71 3   4.500   0.0000薬液濃度(CELL2)                         V                   
J01  11 0      13       10工程                                                        
J01  21 1   100.0     0.00B原液濃度                               mS/cm               
J01  31 1    45.0     0.00B原液濃度                               ℃                  
J01  41 1   300.0   -10.00給水圧                                  KPa                 
J01  51 3   4.500   0.0000薬液濃度(CELL2)                         V                   
